,Date,Location,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
281,12/06/2021,MP,71.3,78.8
282,12/06/2021,RP,73.7,86.1
283,12/06/2021,MT,52.2,60.3
284,12/06/2021,WY,46.0,54.2
285,12/06/2021,MO,51.7,60.5
286,12/06/2021,AK,55.0,63.6
287,12/06/2021,VT,74.0,86.5
288,12/06/2021,SD,55.2,67.9
289,12/06/2021,ND,49.2,58.5
290,12/06/2021,IL,62.3,69.9
291,12/06/2021,NC,54.7,71.5
292,12/06/2021,MI,55.3,61.8
293,12/06/2021,GU,73.7,81.3
294,12/06/2021,KS,55.3,66.9
295,12/06/2021,VI,49.3,57.3
296,12/06/2021,MH,28.6,32.6
297,12/06/2021,NM,64.3,77.7
298,12/06/2021,IH2,38.2,47.7
299,12/06/2021,MS,47.1,54.1
300,12/06/2021,OR,64.8,72.1
301,12/06/2021,MD,68.4,77.7
302,12/06/2021,SC,51.9,60.9
303,12/06/2021,TN,49.8,57.2
304,12/06/2021,NV,55.0,67.1
305,12/06/2021,BP2,0.0,0.0
306,12/06/2021,DC,65.3,83.0
307,12/06/2021,US,60.0,71.1
308,12/06/2021,GA,49.4,59.4
309,12/06/2021,WI,60.2,66.4
310,12/06/2021,PA,59.3,82.8
311,12/06/2021,NE,57.9,64.5
312,12/06/2021,RI,73.7,84.3
313,12/06/2021,CO,64.1,72.2
314,12/06/2021,LA,49.2,56.0
315,12/06/2021,MA,72.2,86.9
316,12/06/2021,IA,57.2,63.0
317,12/06/2021,ID,45.5,51.1
318,12/06/2021,AZ,55.3,65.1
319,12/06/2021,IN,51.0,56.3
320,12/05/2021,LA,49.2,56.0
321,12/05/2021,CO,63.9,72.1
322,12/05/2021,DD2,0.0,0.0
323,12/05/2021,NC,54.7,71.4
324,12/05/2021,VT,73.8,86.3
325,12/05/2021,OH,53.6,58.9
326,12/05/2021,FL,61.9,72.4
327,12/05/2021,MD,68.4,77.6
328,12/05/2021,CA,63.9,79.6
329,12/05/2021,CT,72.8,85.0
330,12/05/2021,TN,49.8,57.2
331,12/05/2021,GU,73.7,81.3
332,12/05/2021,WI,60.1,66.4
333,12/05/2021,TX,55.2,64.6
334,12/05/2021,OK,52.0,63.5
335,12/05/2021,MN,63.3,69.6
336,12/05/2021,KS,55.2,66.8
337,12/05/2021,NM,64.1,77.5
338,12/05/2021,RP,73.7,86.1
339,12/05/2021,HI,61.6,82.8
340,12/05/2021,GA,49.4,59.4
341,12/05/2021,MH,28.3,32.0
342,12/05/2021,AS,66.5,78.2
343,12/05/2021,VI,49.3,57.3
344,12/05/2021,MO,51.5,60.4
345,12/05/2021,DC,65.2,82.7
346,12/05/2021,MA,71.9,86.7
347,12/05/2021,PA,59.0,82.5
348,12/05/2021,ME,72.9,82.7
349,12/05/2021,FM,41.6,46.8
350,12/05/2021,DE,61.9,73.5
351,12/05/2021,ND,49.2,58.5
352,12/05/2021,UT,55.9,65.1
353,12/05/2021,SC,51.8,60.8
354,12/05/2021,OR,64.6,72.0
355,12/05/2021,WA,65.5,73.4
356,12/05/2021,ID,45.5,51.1
357,12/05/2021,MS,47.1,54.1
358,12/05/2021,MT,52.2,60.3
